blk_cd,od_cnt,hd_pop,hd_kpop,blk_ar,hd_ar,blk_pop,blk_kpop,tratio,tratio2,dist_s1,dist_s2,dist_r1,dist_r2,apt_kpop,blk_kpop2,esti1
"414768",31.3,"41176","31068",464.76,4771008.7152,4.01109260166124,3.02643833661384,1,1,"2064","436","520","469",0,0,13.8296542112076
"415137",26.8,"25562","18439",5411.876,5851879.984,23.6399882926922,17.0525680357152,0.189500726110311,0.189500726110311,"2891","266","999","994",0,0,6.00889725338495
"422690",1.5,"32920","25594",1,4880725.102,0.0067448994385097,0.00524389295957525,0.742876801113508,0.742876801113508,"818","2337","125","125",0,0,9.29365185928801
"422693",0.3,"32920","25594",1,4880725.102,0.0067448994385097,0.00524389295957525,0.904095219389972,0.904095219389972,"193","2161","450","450",0,0,12.4536346326669
"422927",4,"32920","25594",1,4880725.102,0.0067448994385097,0.00524389295957525,0.0266474535028088,0.999626126209155,"1055","2938","440","440",0,0,1.96508455759953
"423387",44.3,"48258","36135",1,6597305.7359,0.00731480424461739,0.00547723592729184,1,1,"1487","2308","223","134",0,0,12.7107980875433
"424018",1,"3341","2372",9269.51,275906.672,112.246045684607,79.6909968164887,0,0,"2340","2232","132","132",0,0,0.561148149880536
"424163",24.3,"17850","13385",3917.87,4229865.224,16.5333824593746,12.3977212447467,0.0860610200965238,0,"652","622","788","553",0,0,4.01352879950082
"424405",9,"23943","16950",1746.307,7679629.5444,5.4445111263849,3.85434004060577,1,0,"1198","1098","157","157",0,0,12.4709065160125
"424421",58,"43515","32495",35177.7592,77042348.3237,19.869074929497,14.8373110383547,0,0,"1937","1690","1167","51",0,0,4.40609648048363
"424627",187.5,"21305","15639",1,3430884.823,0.00620976835397543,0.00455829933291818,1,0,"3322","3189","253","253",0,0,12.7914368984393
"425067",5.8,"24887","18123",1,5779389.7046,0.0043061640193932,0.0031357982289333,1,0,"1120","1044","424","424",0,0,13.4789900577229
"425089",12.8,"24887","18123",1,5779389.7046,0.0043061640193932,0.0031357982289333,1,0,"984","864","497","487",0,0,13.7580350577229
"425437",16.3,"43515","31875",14855.96,416940.289,1550.47884902291,1135.73511002195,0,0,"498","179","229","138",0,0,2.32835823236841
"425453",3.8,"17507","13383",16870.67,3894692.301,75.835212864997,57.971248858871,0.219618785080929,0.219618785080929,"2009","2029","1203","1203",0,0,7.20886035566468
"425525",10.3,"68767","51081",1,5250110,0.0130982017519633,0.00972951042930529,1,1,"1090","974","222","222",0,0,12.7141605899865
"425922",133,"23943","16950",1,7679629.5444,0.00311772851301913,0.00220713771439144,1,0,"1775","1624","841","841",0,0,15.0472118560362
"425937",6.3,"28269","20924",9960.68,6541573.066,43.0444573620237,31.8604204550209,1,0,"838","802","58","58",0,0,12.1385153840688
